Image,Correlation,Chi-Square,Intersection,Bhattacharyya
1.jpg,1.0,0.0,1.0,0.0
10.jpg,0.0027138531337998623,0.03187702033092533,0.0044551002099142405,0.9939894224031992
11.jpg,0.05651878196511193,0.2073744967670408,0.0629569429901862,0.8234010396519994
12.jpg,0.06506848802415637,0.3025247593374043,0.13639518717608476,0.7901402102131865
13.jpg,0.21094335956546184,0.017629836024696848,0.008662520488411388,0.781943733559961
14.jpg,0.015644768391858663,0.054530729155794024,0.007212040479171723,0.9576436671846037
15.jpg,0.009445581235168839,0.18054242931948575,0.005318247657693872,1.0
16.jpg,0.0007371988083614043,0.10465312105913613,0.0,0.9445891045383106
17.jpg,0.0,1.0,0.018269305228543226,0.9502412930518195
18.jpg,0.25630819816870176,0.023050699355624673,0.11223698591473721,0.7529049623668319
19.jpg,0.017971824024844034,0.0770743568104071,0.014766298645634838,0.9281364171627198
2.jpg,0.184072923165407,0.5509617015085561,0.189515640310405,0.7053361256225799
20.jpg,0.03509220411386394,0.23453604116022145,0.05802168273232986,0.9573872816721937
3.jpg,0.16786688277966055,0.026959730673840405,0.08432817521852644,0.5911897008239634
4.jpg,0.5186703316940269,0.07048414858561103,0.39940972411542147,0.5909306482135394
5.jpg,0.18851010562639636,0.08574022017626654,0.1237095713498331,0.7341224772811147
6.jpg,0.2873055427218915,0.051131143379391474,0.191630109400479,0.6524012571249285
7.jpg,0.09036341136557902,0.029545555942445578,0.0456107487898656,0.8139196315905208
8.jpg,0.1102253082284592,0.05664904465541615,0.07349203752136448,0.7841009633000433
9.jpg,0.20374715627786164,0.025042077314149733,0.01994040318196062,0.8286417439353128
