Image,Correlation,Chi-Square,Intersection,Bhattacharyya
1.jpg,1.0,0.0,1.0,0.0
10.jpg,0.0,0.3648609666723058,0.0,0.9847136192762987
11.jpg,0.12092707330775387,0.34085568228222063,0.10872926934393483,0.7745114857929162
12.jpg,0.1192988424417893,0.6530411516516245,0.07594072851321615,0.7444814799005203
13.jpg,0.10743905743312909,0.007684554654386583,0.026211636336570955,0.7381896530754157
14.jpg,0.054812423356047725,0.012158773866352973,0.019213533027596055,0.9225321416357513
15.jpg,0.008963898657290015,0.4699777526488128,0.0023944858165126986,1.0
16.jpg,0.025696257595363477,0.028065026653230643,0.00029169445699368584,0.9129019447324253
17.jpg,0.017641856795026962,0.0643009769385297,0.017016734143889368,0.9287085620963126
18.jpg,0.44014718327411867,0.004796005614512788,0.1556351530732291,0.6838797307301373
19.jpg,0.02382523885651216,0.4969520881971406,0.03983530288563505,0.8954794951825158
2.jpg,0.3944886120966427,0.25993116161888813,0.3187930092865646,0.63712703290913
20.jpg,0.006341344986820748,1.0,0.08538985932907288,0.9165264669979354
3.jpg,0.45140533822462414,0.004812134972896652,0.13094403604331434,0.4943899893126808
4.jpg,0.7438893026835303,0.003874498245300298,0.44312570691971037,0.4832903783997893
5.jpg,0.2309485161716667,0.03661228595946483,0.17235588158899556,0.6737698883818287
6.jpg,0.6885085940992893,0.01853317345413459,0.33853821023220065,0.4961752574751363
7.jpg,0.13607307385800463,0.029671483408102724,0.14343162212414243,0.7102055049221035
8.jpg,0.19713064744547312,0.02192761156233723,0.16167830723161378,0.7073899061401592
9.jpg,0.07705323598782932,0.369117975829572,0.050837189353894426,0.7845205844273423
